regime,ablation,dataset,auc,ci_lo,ci_hi,n,r
HUG,full_11,CV5,0.885989010989011,0.8186813186813187,0.945054945054945,118,14
HUG,full_11,cross_ext,0.5883333333333334,0.45,0.7258541666666666,70,30
HUG,full_11,CMHA,0.6396103896103895,0.5134508348794062,0.747704081632653,105,77
HUG,sem_NPS,CV5,0.881868131868132,0.8131868131868132,0.9429945054945054,118,14
HUG,sem_NPS,cross_ext,0.6266666666666667,0.4891458333333333,0.755,70,30
HUG,sem_NPS,CMHA,0.653061224489796,0.5347750463821893,0.762987012987013,105,77
pex,full_11,CV5,0.6575,0.5174791666666666,0.79,70,30
pex,full_11,cross_ext,0.6699862637362638,0.4978880494505495,0.8276270604395604,118,14
pex,full_11,CMHA,0.5918367346938775,0.44805194805194803,0.7268205009276438,105,77
pex,sem_NPS,CV5,0.6608333333333333,0.5316458333333334,0.7908333333333334,70,30
pex,sem_NPS,cross_ext,0.7462225274725275,0.6033653846153847,0.869539835164835,118,14
pex,sem_NPS,CMHA,0.6971243042671614,0.5839517625231911,0.8056818181818182,105,77
